# score	source	age_h	payout_hint	tags	url	title
5	github	1.1	$100	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1744	feat: Comprehensive Memanto vs Competitors Benchmark (#770)
4	sn/bitcoin	10.7	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1536316	granola: Cashu atomic swaps coordinated over Nostr - brenorb
4	sn/tech	7.9	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1536450	Is The State Department Really Building "Freedom Tech"?
4	github	2.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1743	fix: prevent FastAPI Header metadata from becoming an API key
4	github	4.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1742	feat(migrations): add Claude Code memory adapter to OKF (#1609)
2	github	3.7	-	OPEN_ISSUE	https://github.com/aiforuseac4-blockchain/quorum-reliability-bounty/issues/1	[Funded — claim now] Fix duplicate verifier counting — 0.99 USDC
2	github	13.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/figranium/figranium/issues/323	Source-confirmed: raw cron validation accepts impossible field values
2	github	14.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/amankoli09/LynxX/issues/42	Issue 3: Claim Link Landing Page
2	github	14.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/amankoli09/LynxX/issues/41	Issue 2: Create Escrow UI Form
2	github	55.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/Stellar-Ecosystem/lodestar/issues/375	Frontend: `parseFloat` used for price sorting on currency strings
2	github	55.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/Stellar-Ecosystem/lodestar/issues/323	Agents: default spending limits are dangerously permissive
2	github	56.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/ritik4ever/stellar-stream/issues/764	[FEATURE] Add number formatting utilities (locale-aware)
2	github	64.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/StellarState/SS-backend/issues/139	[BACKEND] Build seller invoice discounting & yield calculator utility service
2	github	66.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/Quittance-Labs/Quittance0/issues/125	test(backend): isolated smoke — sum amounts for USDC only (backend/tests/isolated/084-sum-usdc.test.js)
2	github	66.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/Quittance-Labs/Quittance0/issues/66	docs: add contributor note — USDC asset code / issuer notes (docs/contributor-notes/023-asset-usdc.md)
2	github	5.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1739	[Bug Fix] Batch memory constants dedup, is_valid_memory_id hardening, and input validation
2	github	6.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1738	perf(okf): prevent quadratic link parsing in malformed notes
2	github	8.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1736	Fix: fix(conflicts): resolving a conflict from the Web UI deletes another conflict's memories (#770)
2	github	18.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1732	feat(migrations): add privacy-first Codex session to OKF adapter
2	github	20.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1731	fix(conflicts): resolving a conflict from the Web UI deletes another conflict's memories (#770)
0	github	62.1	-	OPEN_ISSUE	https://github.com/TrusTrove/TrusTrove-contract/issues/458	bug(docs): escrow contract initialize doc comment contains misplaced line for usdc_client
0	github	64.8	-	OPEN_ISSUE	https://github.com/StellarState/SS-backend/issues/175	[TESTING] Add unit tests for stroopsToXlm and xlmToStroops unit conversion helpers
0	github	4.3	-	OPEN_ISSUE	https://github.com/moorcheh-ai/memanto/pull/1741	fix: agent deletion leaves memories, sessions, and conflicts (data resurrection bug) #770
0	github	4.9	-	OPEN_ISSUE	https://github.com/moorcheh-ai/memanto/pull/1740	fix(integrations): restore valid memory writes
0	github	16.7	-	OPEN_ISSUE	https://github.com/MyZubster-Ecosystem/MyZubsterGateway/issues/109	[Bounty] Seed Exchange: add CSV/GeoJSON export endpoints
0	github	17.8	-	OPEN_ISSUE	https://github.com/MyZubster-Ecosystem/MyZubsterGateway/issues/104	[Bounty] API per Scambio di semi e talee
0	github	19.4	-	OPEN_ISSUE	https://github.com/MyZubster-Ecosystem/MyZubsterGateway/issues/97	[Bounty] API per ricevere dati da Arduino (IoT)
0	github	19.4	-	OPEN_ISSUE	https://github.com/MyZubster-Ecosystem/MyZubsterGateway/issues/96	[Bounty] API per ricevere dati da Arduino (IoT)
0	github	19.4	-	OPEN_ISSUE	https://github.com/MyZubster-Ecosystem/myzubster/issues/17	[Bounty] Geolocalizzazione automatica e ricerca per area
